it ant_count alpha_ant beta_ant greedy random standard rank elit pso,,,,,,,,alpha=0.4,alpha=.55,alpha=1,bta=0.4,beta=0.85,beta=1,antcount=50,antcount=100,antcount=150,antcount=200
50,200,0.55,0.4,,,532.984451,,FALSE,532.984451,FALSE,532.984451,FALSE,FALSE,FALSE,FALSE,FALSE,532.984451
50,200,0.55,0.4,,,532.984451,,FALSE,532.984451,FALSE,532.984451,FALSE,FALSE,FALSE,FALSE,FALSE,532.984451
50,200,0.55,0.85,,,504.9315203,,FALSE,504.9315203,FALSE,FALSE,504.9315203,FALSE,FALSE,FALSE,FALSE,504.9315203
50,200,0.55,0.85,,,504.9315203,,FALSE,504.9315203,FALSE,FALSE,504.9315203,FALSE,FALSE,FALSE,FALSE,504.9315203
50,200,0.55,0.85,,,504.9315203,,FALSE,504.9315203,FALSE,FALSE,504.9315203,FALSE,FALSE,FALSE,FALSE,504.9315203
50,200,0.55,1,,,472.4298643,,FALSE,472.4298643,FALSE,FALSE,FALSE,472.4298643,FALSE,FALSE,FALSE,472.4298643
50,200,0.55,1,,,472.4298643,,FALSE,472.4298643,FALSE,FALSE,FALSE,472.4298643,FALSE,FALSE,FALSE,472.4298643
50,200,0.55,1,,,472.4298643,,FALSE,472.4298643,FALSE,FALSE,FALSE,472.4298643,FALSE,FALSE,FALSE,472.4298643
50,200,1,0.4,,,532.984451,,FALSE,FALSE,532.984451,532.984451,FALSE,FALSE,FALSE,FALSE,FALSE,532.984451
50,200,1,0.4,,,532.984451,,FALSE,FALSE,532.984451,532.984451,FALSE,FALSE,FALSE,FALSE,FALSE,532.984451
50,200,1,0.4,,,532.984451,,FALSE,FALSE,532.984451,532.984451,FALSE,FALSE,FALSE,FALSE,FALSE,532.984451
50,200,1,0.85,,,504.9315203,,FALSE,FALSE,504.9315203,FALSE,504.9315203,FALSE,FALSE,FALSE,FALSE,504.9315203
50,200,1,0.85,,,504.9315203,,FALSE,FALSE,504.9315203,FALSE,504.9315203,FALSE,FALSE,FALSE,FALSE,504.9315203
50,200,1,0.85,,,504.9315203,,FALSE,FALSE,504.9315203,FALSE,504.9315203,FALSE,FALSE,FALSE,FALSE,504.9315203
50,200,1,1,,,472.4298643,,FALSE,FALSE,472.4298643,FALSE,FALSE,472.4298643,FALSE,FALSE,FALSE,472.4298643
50,200,1,1,,,472.4298643,,FALSE,FALSE,472.4298643,FALSE,FALSE,472.4298643,FALSE,FALSE,FALSE,472.4298643
50,200,1,1,,,472.4298643,,FALSE,FALSE,472.4298643,FALSE,FALSE,472.4298643,FALSE,FALSE,FALSE,472.4298643
50,50,0.4,0.4,,,588.934874,,588.934874,FALSE,FALSE,588.934874,FALSE,FALSE,588.934874,FALSE,FALSE,FALSE
50,50,0.4,0.4,,,588.934874,,588.934874,FALSE,FALSE,588.934874,FALSE,FALSE,588.934874,FALSE,FALSE,FALSE
50,50,0.4,0.4,,,588.934874,,588.934874,FALSE,FALSE,588.934874,FALSE,FALSE,588.934874,FALSE,FALSE,FALSE
50,50,0.4,0.85,,,483.2475794,,483.2475794,FALSE,FALSE,FALSE,483.2475794,FALSE,483.2475794,FALSE,FALSE,FALSE
50,50,0.4,0.85,,,483.2475794,,483.2475794,FALSE,FALSE,FALSE,483.2475794,FALSE,483.2475794,FALSE,FALSE,FALSE
50,50,0.4,0.85,,,483.2475794,,483.2475794,FALSE,FALSE,FALSE,483.2475794,FALSE,483.2475794,FALSE,FALSE,FALSE
50,50,0.4,1,,,512.3489239,,512.3489239,FALSE,FALSE,FALSE,FALSE,512.3489239,512.3489239,FALSE,FALSE,FALSE
50,50,0.4,1,,,512.3489239,,512.3489239,FALSE,FALSE,FALSE,FALSE,512.3489239,512.3489239,FALSE,FALSE,FALSE
50,50,0.4,1,,,512.3489239,,512.3489239,FALSE,FALSE,FALSE,FALSE,512.3489239,512.3489239,FALSE,FALSE,FALSE
50,50,0.55,0.4,,,524.2578982,,FALSE,524.2578982,FALSE,524.2578982,FALSE,FALSE,524.2578982,FALSE,FALSE,FALSE
50,50,0.55,0.4,,,588.934874,,FALSE,588.934874,FALSE,588.934874,FALSE,FALSE,588.934874,FALSE,FALSE,FALSE
50,50,0.55,0.4,,,588.934874,,FALSE,588.934874,FALSE,588.934874,FALSE,FALSE,588.934874,FALSE,FALSE,FALSE
50,50,0.55,0.85,,,483.2475794,,FALSE,483.2475794,FALSE,FALSE,483.2475794,FALSE,483.2475794,FALSE,FALSE,FALSE
50,50,0.55,0.85,,,483.2475794,,FALSE,483.2475794,FALSE,FALSE,483.2475794,FALSE,483.2475794,FALSE,FALSE,FALSE
50,50,0.55,0.85,,,483.2475794,,FALSE,483.2475794,FALSE,FALSE,483.2475794,FALSE,483.2475794,FALSE,FALSE,FALSE
50,50,0.55,1,,,512.3489239,,FALSE,512.3489239,FALSE,FALSE,FALSE,512.3489239,512.3489239,FALSE,FALSE,FALSE
50,50,0.55,1,,,512.3489239,,FALSE,512.3489239,FALSE,FALSE,FALSE,512.3489239,512.3489239,FALSE,FALSE,FALSE
50,50,0.55,1,,,512.3489239,,FALSE,512.3489239,FALSE,FALSE,FALSE,512.3489239,512.3489239,FALSE,FALSE,FALSE
50,50,1,0.4,,,524.2578982,,FALSE,FALSE,524.2578982,524.2578982,FALSE,FALSE,524.2578982,FALSE,FALSE,FALSE
50,50,1,0.4,,,588.934874,,FALSE,FALSE,588.934874,588.934874,FALSE,FALSE,588.934874,FALSE,FALSE,FALSE
50,50,1,0.4,,,588.934874,,FALSE,FALSE,588.934874,588.934874,FALSE,FALSE,588.934874,FALSE,FALSE,FALSE
50,50,1,0.85,,,483.2475794,,FALSE,FALSE,483.2475794,FALSE,483.2475794,FALSE,483.2475794,FALSE,FALSE,FALSE
50,50,1,0.85,,,483.2475794,,FALSE,FALSE,483.2475794,FALSE,483.2475794,FALSE,483.2475794,FALSE,FALSE,FALSE
50,50,1,0.85,,,483.2475794,,FALSE,FALSE,483.2475794,FALSE,483.2475794,FALSE,483.2475794,FALSE,FALSE,FALSE
50,50,1,1,,,512.3489239,,FALSE,FALSE,512.3489239,FALSE,FALSE,512.3489239,512.3489239,FALSE,FALSE,FALSE
50,50,1,1,,,512.3489239,,FALSE,FALSE,512.3489239,FALSE,FALSE,512.3489239,512.3489239,FALSE,FALSE,FALSE
50,50,1,1,,,512.3489239,,FALSE,FALSE,512.3489239,FALSE,FALSE,512.3489239,512.3489239,FALSE,FALSE,FALSE
50,100,0.4,0.4,,,534.4915005,,534.4915005,FALSE,FALSE,534.4915005,FALSE,FALSE,FALSE,534.4915005,FALSE,FALSE
50,100,0.4,0.4,,,525.8138241,,525.8138241,FALSE,FALSE,525.8138241,FALSE,FALSE,FALSE,525.8138241,FALSE,FALSE
50,100,0.4,0.4,,,525.8138241,,525.8138241,FALSE,FALSE,525.8138241,FALSE,FALSE,FALSE,525.8138241,FALSE,FALSE
