it ant_count alpha_ant beta_ant greedy random standard rank elit pso,,,,,,,,alpha=1,alpha,alpha,alpha,alpha=20,beta=1,,,,beta=20
50,200,1,4,,,393.1819438,,393.1819438,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,393.1819438,FALSE,FALSE
50,200,1,10,,,426.2840218,,426.2840218,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,426.2840218,FALSE
50,200,1,20,,,428.4260121,,428.4260121,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,428.4260121
50,200,2,1,,,470.1400465,,FALSE,470.1400465,FALSE,FALSE,FALSE,470.1400465,FALSE,FALSE,FALSE,FALSE
50,200,2,2,,,418.470287,,FALSE,418.470287,FALSE,FALSE,FALSE,FALSE,418.470287,FALSE,FALSE,FALSE
50,200,2,4,,,393.1819438,,FALSE,393.1819438,FALSE,FALSE,FALSE,FALSE,FALSE,393.1819438,FALSE,FALSE
50,200,2,10,,,426.2840218,,FALSE,426.2840218,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,426.2840218,FALSE
50,200,2,20,,,457.6316344,,FALSE,457.6316344,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,457.6316344
50,200,4,1,,,457.3714931,,FALSE,FALSE,457.3714931,FALSE,FALSE,457.3714931,FALSE,FALSE,FALSE,FALSE
50,200,4,2,,,418.470287,,FALSE,FALSE,418.470287,FALSE,FALSE,FALSE,418.470287,FALSE,FALSE,FALSE
50,200,4,4,,,383.8410323,,FALSE,FALSE,383.8410323,FALSE,FALSE,FALSE,FALSE,383.8410323,FALSE,FALSE
50,200,4,10,,,415.227813,,FALSE,FALSE,415.227813,FALSE,FALSE,FALSE,FALSE,FALSE,415.227813,FALSE
50,200,4,20,,,460.8035493,,FALSE,FALSE,460.8035493,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,460.8035493
50,200,10,1,,,451.88162,,FALSE,FALSE,FALSE,451.88162,FALSE,451.88162,FALSE,FALSE,FALSE,FALSE
50,200,10,2,,,397.8612778,,FALSE,FALSE,FALSE,397.8612778,FALSE,FALSE,397.8612778,FALSE,FALSE,FALSE
50,200,10,4,,,403.668978,,FALSE,FALSE,FALSE,403.668978,FALSE,FALSE,FALSE,403.668978,FALSE,FALSE
